,Song,Artist,pos,neu,neg,Sentiment
168,Que Raro,"Feid, J Balvin",0.0,100.0,0.0,Neutral
169,Te busco (feat. Nicky Jam),Cosculluela,1.4084507042253522,95.77464788732394,2.8169014084507045,Negative
170,I Will Be There (feat. ChocQuibTown),"Agapornis, Come & C",0.0,0.0,0.0,
171,Una Noche Contigo,"Marama, Rombai",0.0,0.0,0.0,
172,Sin Contrato,Maluma,0.0,0.0,0.0,
173,Como Le Digo,Rodrigo,1.4925373134328357,83.5820895522388,14.925373134328357,Negative
174,Cheap Thrills,Corta La Bocha,5.555555555555555,78.3068783068783,16.137566137566136,Negative
175,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,0.0,0.0,0.0,
176,"La Ocasion (feat. Arcangel, Ozuna & Anuel Aa)","De La Ghetto, Mambo Kingz, DJ Luian",0.0,0.0,0.0,
177,Cuando Pase El Temblor - Remasterizado 2007,Soda Stereo,0.0,0.0,0.0,
178,Jamas,RC BAND,14.035087719298245,78.94736842105263,7.017543859649122,Positive
179,Deja Que Te Bese,"Alejandro Sanz, Marc Anthony",1.3888888888888888,98.61111111111111,0.0,Positive
180,Time of Our Lives,"Pitbull, Ne-Yo",4.854368932038835,90.29126213592234,4.854368932038835,Neutral
181,Gyal You A Party Animal,Charly Black,19.767441860465116,79.06976744186046,1.1627906976744187,Positive
182,Perfect Strangers,"Jonas Blue, JP Cooper",7.8125,92.1875,0.0,Positive
183,Ego,Lali,9.615384615384617,84.61538461538461,5.769230769230769,Positive
184,Se Parece Ms A Ti,Jambao,20.51282051282051,79.48717948717949,0.0,Positive
185,Persiana Americana,Agapornis,0.0,0.0,0.0,
186,Carnaval,Maluma,0.0,93.97590361445783,6.024096385542169,Negative
187,Quiero Que Sepas,Juan Magï¿½n,0.0,97.82608695652173,2.1739130434782608,Negative
188,Adventure of a Lifetime,Coldplay,40.98360655737705,59.01639344262295,0.0,Positive
189,Volar,Benjamï¿½n Amadeo,0.0,100.0,0.0,Neutral
190,The Greatest,Sia,30.864197530864196,69.1358024691358,0.0,Positive
191,Madrugada,La Beriso,0.0,0.0,0.0,
192,What Do You Mean?,Justin Bieber,0.0,0.0,0.0,
193,En La Intimidad,Ozuna,2.3529411764705883,88.23529411764706,9.411764705882353,Negative
194,Tus Ojos No Me Ven,Agapornis,0.0,0.0,0.0,
195,Una Rfaga de Amor,Rafaga,0.0,0.0,0.0,
196,Slo necesito,#TocoParaVos,0.0,100.0,0.0,Neutral
197,Lean On (feat. M & DJ Snake),Major Lazer,0.0,0.0,0.0,
198,Sugar,Maroon 5,32.857142857142854,60.0,7.142857142857142,Positive
199,No hay ms nada,Los Totora,3.278688524590164,95.08196721311475,1.639344262295082,Positive
200,Tal Vez,Marama,2.127659574468085,95.74468085106383,2.127659574468085,Neutral
201,Starboy,"The Weeknd, Daft Punk",0.0,0.0,0.0,
202,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,0.0,0.0,0.0,
203,Closer,"The Chainsmokers, Halsey",0.0,0.0,0.0,
204,"I Dont Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",0.0,0.0,0.0,
205,Call On Me - Ryan Riback Extended Remix,Starley,12.962962962962962,87.03703703703704,0.0,Positive
206,Say You Won't Let Go,James Arthur,0.0,0.0,0.0,
207,I Feel It Coming,"The Weeknd, Daft Punk",0.0,0.0,0.0,
208,Sexual,"NEIKED, Dyo",0.0,0.0,0.0,
209,Let Me Love You,"DJ Snake, Justin Bieber",30.263157894736842,67.10526315789474,2.631578947368421,Positive
210,The Mack,"Nevada, Mark Morrison, Fetty Wap",6.944444444444445,87.5,5.555555555555555,Positive
211,Don't Wanna Know,"Maroon 5, Kendrick Lamar",22.727272727272727,73.86363636363636,3.4090909090909087,Positive
212,24K Magic,Bruno Mars,9.58904109589041,89.04109589041096,1.36986301369863,Positive
213,Stranger (feat. Elliphant),Peking Duk,0.0,0.0,0.0,
214,Cold Water (feat. Justin Bieber & M),Major Lazer,0.0,0.0,0.0,
215,Black Beatles,"Rae Sremmurd, Gucci Mane",0.0,0.0,0.0,
216,Fresh Eyes,Andy Grammer,38.63636363636363,59.09090909090909,2.272727272727273,Positive
217,Love$ick (feat. A$AP Rocky),Mura Masa,0.0,0.0,0.0,
218,I Would Like,Zara Larsson,22.07792207792208,72.72727272727273,5.194805194805195,Positive
219,Scars To Your Beautiful,Alessia Cara,33.89830508474576,61.016949152542374,5.084745762711865,Positive
220,Fake Love,Drake,2.941176470588235,94.11764705882352,2.941176470588235,Neutral
221,Capsize,"FRENSHIP, Emily Warren",2.4691358024691357,95.06172839506173,2.4691358024691357,Neutral
222,All We Know,"The Chainsmokers, Phoebe Ryan",2.272727272727273,95.45454545454545,2.272727272727273,Neutral
223,Starving,"Hailee Steinfeld, Grey, Zedd",2.7777777777777777,94.44444444444444,2.7777777777777777,Neutral
224,My Way,Calvin Harris,3.7735849056603774,96.22641509433963,0.0,Positive
225,In the Name of Love,"Martin Garrix, Bebe Rexha",25.49019607843137,68.62745098039215,5.88235294117647,Positive
226,All Night,"The Vamps, Matoma",0.0,95.1219512195122,4.878048780487805,Negative
227,One Dance,"Drake, WizKid, Kyla",0.0,0.0,0.0,
228,Just Hold On,"Steve Aoki, Louis Tomlinson",14.583333333333334,85.41666666666666,0.0,Positive
229,By Your Side,"Jonas Blue, RAYE",1.6129032258064515,98.38709677419355,0.0,Positive
230,Say It (feat. Tove Lo),Flume,0.0,0.0,0.0,
231,Catch 22 (feat. Anne-Marie),Illy,1.25,93.75,5.0,Negative
232,Cocoon,Milky Chance,10.606060606060606,81.81818181818183,7.575757575757576,Positive
233,Mercy,Shawn Mendes,30.0,70.0,0.0,Positive
234,Now and Later,Sage The Gemini,19.444444444444446,79.16666666666666,1.3888888888888888,Positive
235,Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",30.952380952380953,69.04761904761905,0.0,Positive
236,The Ocean (feat. Shy Martin),Mike Perry,0.0,100.0,0.0,Neutral
237,Setting Fires,"The Chainsmokers, XYLï¿½",0.0,90.625,9.375,Negative
238,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,0.0,0.0,0.0,
239,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,0.0,0.0,0.0,
240,Side To Side,"Ariana Grande, Nicki Minaj",2.4691358024691357,88.88888888888889,8.641975308641975,Negative
241,Love on Me,"Galantis, Hook N Sling",13.725490196078432,86.27450980392157,0.0,Positive
242,Never Be Like You,"Flume, kai",6.122448979591836,61.224489795918366,32.6530612244898,Negative
243,Chameleon,PNAU,10.0,90.0,0.0,Positive
244,Perfect Strangers,"Jonas Blue, JP Cooper",7.8125,92.1875,0.0,Positive
245,Dancing On My Own,Calum Scott,2.272727272727273,97.72727272727273,0.0,Positive
246,Redbone,Childish Gambino,0.0,91.37931034482759,8.620689655172415,Negative
247,Papercuts (feat. Vera Blue),Illy,0.0,0.0,0.0,
248,Bad Things (with Camila Cabello),Machine Gun Kelly,0.0,0.0,0.0,
249,Juju on That Beat (TZ Anthem),"Zay Hilfigerrr, Zayion McCall",2.666666666666667,94.66666666666667,2.666666666666667,Neutral
250,Don't Let Me Down (feat. Daya),The Chainsmokers,0.0,0.0,0.0,
251,The Greatest (feat. Kendrick Lamar),Sia,0.0,0.0,0.0,
252,This Is What You Came For (feat. Rihanna),Calvin Harris,0.0,0.0,0.0,
